Actual Charges,Predicted Charges
1977.8154,3174.46
12142.578,13535.791
10601.632,12023.186
12269.688,13796.122
19749.383,12159.872
3577.999,4781.7393
48673.56,52529.89
3171.6152,4531.8555
4673.3916,6351.912
10338.932,11592.434
2136.8818,3812.212
13555.005,15425.701
9877.607,11304.391
9715.841,11346.83
8527.532,9992.807
1634.5732,3395.2002
17043.342,22157.777
7740.337,9022.079
4076.497,5245.461
4877.9814,6741.31
18259.217,20652.342
4149.7354,5252.1177
11576.13,12999.721
20177.672,5504.98
3972.9248,5189.939
7147.1055,7978.1353
7682.67,9200.308
7421.1943,8542.494
5246.047,6314.9033
3490.5488,5424.904
22395.744,5924.408
7445.918,8568.782
2639.043,4300.1904
11538.421,12948.696
4058.712,5775.312
1607.5098,3041.1572
36189.1,31644.508
6799.458,8980.118
10065.413,11047.894
1639.5635,3329.7979
2166.7314,3416.54
5385.3384,6646.565
12731.0,14510.158
5152.1333,6280.8975
23065.42,28635.277
9866.305,11445.699
2689.495,4248.286
46718.164,40984.773
8059.679,9515.836
2304.002,4151.123
2221.5645,3931.0098
7325.0483,8712.225
10959.694,12417.265
28468.922,10279.713
11353.228,12790.136
46151.125,51542.93
7348.142,8278.691
13937.666,15526.004
12797.21,9212.697
6500.236,7756.7656
7742.11,9059.855
46255.113,46633.625
34617.84,31709.637
5630.458,7037.6606
13063.883,14362.269
14313.847,15869.141
37742.574,34997.508
4837.583,6559.3755
18972.494,22402.955
1242.2598,2438.3857
17178.682,23250.277
6457.8433,7946.6045
10704.47,11651.099
14382.709,15975.811
12096.651,13838.502
9193.839,10398.818
11289.109,12978.297
49577.664,49819.957
4718.204,6275.849
11735.879,13143.47
20709.02,13458.61
11455.28,12407.773
4779.6025,6074.5337
3594.171,4960.58
14256.192,15630.129
11944.595,13767.03
4618.08,6347.19
11090.718,12521.613
1694.7959,3483.1953
17663.145,19989.441
26140.36,10108.758
11381.325,13121.704
24476.479,11590.57
10602.385,11846.363
6858.48,8448.699
21880.82,24554.229
1720.3535,3528.3633
39047.285,36489.15
2396.0957,4170.4746
1141.4443,2967.6123
48824.45,49138.758
16138.762,17377.824
5227.989,6678.2354
5709.1646,7149.247
36837.47,34729.22
6198.752,7612.3345
5836.5205,7337.3438
3994.1777,5467.974
19719.695,26674.527
4243.59,5701.2295
2257.4756,3772.251
1628.4707,3184.6895
9301.894,10823.382
4433.916,6090.867
1737.376,2891.9756
11674.13,12830.883
6849.0264,7908.849
8534.672,9919.836
2020.1768,3276.5977
11743.299,13124.662
41097.16,36087.594
13887.204,15419.522
6837.369,8355.918
38344.566,40762.355
5469.0073,6935.7983
37829.723,26685.402
10435.065,12150.214
6551.7495,8509.354
3353.2842,4261.6904
14988.432,16382.129
3943.5957,5571.185
7323.735,4096.8965
2026.9736,3675.916
8124.408,9512.1
40419.02,41476.617
15555.188,17609.52
14119.62,15865.769
47055.53,45207.227
9549.565,11106.379
1633.044,3375.1973
6600.361,7767.1904
